company_year_ide;company;annee;chiffre_daffaires_e;marge_brute_e;resultat_dexploitation_e;resultat_net_e;taux_croissance_ca_pc;taux_marge_brute_pc;taux_marge_operationnelle_pc;bfr_e;bfr_exploitation_e;bfr_hors_exploitation_e;bfr_j_ca;bfr_exploitation_j_ca;bfr_hors_exploitation_j_ca;delai_paiement_clients_j;delai_paiement_fournisseurs_j;ratio_s_stocks_sur_ca_j;capacite_dautofinancement_e;capacite_dautofinancement_sur_ca_pc;fonds_roulement_net_global_e;couverture_bfr;tresorerie_e;dettes_financieres_e;capacite_remboursement;ratio_dendettement_gearing;autonomie_financiere_pc;taux_levier_dfnsurebitda;etat_surdettes_a_1_an_au_plus_e;liquidite_generale;couverture_surdettes;fonds_propres_e;marge_nette_pc;rentabilite_sur_fonds_propres_pc;rentabilite_economique_pc;valeur_ajoutee_e;valeur_ajoutee_sur_ca_pc;salaires_et_charges_sociales_e;salaires_sur_ca_pc;impots_et_taxes_e;chiffre_daffaires_a_lexport_e
0;citility;2017;0;0;0;-562000;0;0;0;-247000;-134000;-112000;0;0;0;0;0;0;0;0;549000;-22;796000;406000;0;-03;617;0;591000;17;-32;1380000;0;0;0;0;0;0;0;0;0
1;citility;2016;30700;527000;-296000;-238000;4;1720;-965;-213000;-217000;3780;-2530;-2580;449;535;566;0;-289000;-942;-210000;1;2900;476000;-16;12;278;-16;604000;05;23;382000;-775;-623;-173;351000;1140;636000;2070;9160;0
2;voxcracy;2019;46300;46300;-38500;-39000;177;100;-833;-44900;-28300;-16600;-355;-223;-131;28;237;0;-32000;-691;-44900;1;0;51600;-16;01;833;-16;103000;01;118;513000;-842;-76;-63;2170;47;33600;725;137;0
3;voxcracy;2018;16700;157000;-130000;-112000;861;940;-776;-27400;-25600;-1740;-598;-560;-379;924;612;0;-105000;-626;-14200;05;13200;50400;-04;01;837;-03;57400;07;166;552000;-668;-202;-169;-21000;-126;101000;602;1120;5000
4;voxcracy;2017;1740;75900;-30300;-23400;0;4360;-1740;7680;-17700;25400;1610;-3720;5330;263;856;0;-17600;-1010;85700;112;78000;0;44;-01;955;32;0;0;-62;569000;-1350;-41;-39;-5040;-290;19100;1100;329;0
5;voxcracy;2016;0;0;-4910;-4910;0;0;0;-2460;0;-2460;0;0;0;0;0;0;-1080;0;-2440;1;20;0;0;-02;4;0;0;0;-127;111;0;-4420;-177;-942;0;0;0;140;0
6;LLL;2020;473000;473000;-42700;-44900;25;100;-9;321000;635000;-314000;248;490;-242;610;168;0;22500;47;348000;11;26900;483000;203;44;84;185;0;0;05;103000;-95;-437;-37;136000;287;97100;205;14200;0
7;LLL;2019;462000;462000;95200;62400;539;100;206;-130000;112000;-242000;-103;886;-192;231;388;0;127000;275;-128000;1;1330;28400;02;02;203;02;0;0;112;148000;135;423;86;292000;632;126000;274;7350;0
8;LLL;2018;300000;300000;25900;19800;0;100;86;-119000;-124000;5330;-144;-151;65;05;367;0;83600;279;-112000;09;2630;166000;2;19;164;18;0;0;22;85300;66;232;38;175000;584;80200;267;5220;0
9;LLL;2017.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;bluenove;2020;0;0;0;763000;0;0;0;171000;822000;-651000;0;0;0;0;0;0;0;0;1360000;8;1210000;1870000;0;03;383;0;2400000;15;47;2520000;0;0;0;0;0;0;0;0;0
11;bluenove;2019;0;0;0;534000;0;0;0;887000;1280000;-397000;0;0;0;0;0;0;0;0;1170000;13;294000;1300000;0;06;317;0;0;0;19;1760000;0;0;0;0;0;0;0;0;0
12;bluenove;2018;0;0;0;65000;0;0;0;1610000;974000;636000;0;0;0;0;0;0;0;0;2140000;13;525000;1270000;0;06;256;0;2560000;17;05;1230000;0;0;0;0;0;0;0;0;0
