ind_id,school,degreeName,schoolName,fieldOfStudy,startDate_year
0,"{'objectUrn': 'urn:li:school:19908', 'entityUrn': 'urn:li:fs_miniSchool:19908', 'active': True, 'schoolName': 'ESCP Business School', 'trackingId': 'IfZjevITTFKbk5sex4JToA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQFiv0Ceayozxw/company-logo_'}",Master,ESCP Europe,Business/Managerial Economics,1998.0
0,,,Prépa Saint Jean de Douai,,1996.0
0,,Baccalauréat,Lycée Kernanec,Economics,1993.0
1,"{'objectUrn': 'urn:li:school:12330', 'entityUrn': 'urn:li:fs_miniSchool:12330', 'active': True, 'schoolName': 'HEIP', 'trackingId': 'EuMIL4TTQy2/qn6NP1yOLg==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHsRdLBxeTAug/company-logo_'}",,Ecole des Hautes Etudes Politiques,Relations Internationales et Sciences Politiques,2006.0
1,"{'objectUrn': 'urn:li:school:13392', 'entityUrn': 'urn:li:fs_miniSchool:13392', 'active': True, 'schoolName': 'The Hebrew University of Jerusalem', 'trackingId': 'RDWDlnEWTQu++FW6stXxbw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEj9V8AF7dbfw/company-logo_'}",,The Hebrew University,Relations et affaires internationales,2005.0
1,"{'objectUrn': 'urn:li:school:245045', 'entityUrn': 'urn:li:fs_miniSchool:245045', 'active': True, 'schoolName': 'Lycée Janson-de-Sailly', 'trackingId': '/Lkk6HyDSzmu7hYeiB/Xew==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQGPmycFtjTb_A/company-logo_'}",Baccalauréat,Lycée Janson-de-Sailly,Sciences Economiques et Sociales Option Anglais,1998.0
2,,Global messaging ,ASO communications / New Economy Organizers Network ,Communication orale et rhétorique,2022.0
2,,Training program to prepare women to political leadership,Investies,Political sciences and government,2020.0
2,,Public narrative ,Leading change network - Marshall Ganz ,Leadership organisationnel,2020.0
3,,,,,
3,,,,,
3,"{'objectUrn': 'urn:li:school:164052', 'entityUrn': 'urn:li:fs_miniSchool:164052', 'active': True, 'schoolName': 'Université de Bordeaux', 'trackingId': '0RLFHBsCQD2+U/SME9BQXw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQGXZPFarym18w/company-logo_'}",Master informatique,Université Bordeaux I,Architecture logicielle distribuée,2004.0
4,,,,,
4,"{'objectUrn': 'urn:li:school:12544', 'entityUrn': 'urn:li:fs_miniSchool:12544', 'active': True, 'schoolName': 'University of Paris I: Panthéon-Sorbonne', 'trackingId': 'zQT6empkSMitUoNhd4jWCQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHvWURG309W3g/company-logo_'}",Master 2,Université Paris 1 Panthéon-Sorbonne,Sciences politiques,2005.0
4,,Licence,Université Lille 2 Droit et Santé,Droit,2002.0
5,"{'objectUrn': 'urn:li:school:10895', 'entityUrn': 'urn:li:fs_miniSchool:10895', 'active': True, 'schoolName': 'Université de Sherbrooke', 'trackingId': 'N0RJVY80R5yJv+HprPxdKA==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHPmp1zHRMp8Q/company-logo_'}",Bachelor's degree,Université de Sherbrooke / Sherbrooke University,"Communication, rédaction et multimédia",2011.0
5,"{'objectUrn': 'urn:li:school:12546', 'entityUrn': 'urn:li:fs_miniSchool:12546', 'active': True, 'schoolName': 'Université Paris Dauphine - PSL', 'trackingId': 'VQaDpc8xSNyi3FcE0VJo8g==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQGsmP2rTINIHg/company-logo_'}",Master's 2 Degree  Marketing & Strategy - Integrated Marketing Communication (IMC),Université Paris Dauphine,,2014.0
5,"{'objectUrn': 'urn:li:school:12559', 'entityUrn': 'urn:li:fs_miniSchool:12559', 'active': True, 'schoolName': 'Université Sorbonne Nouvelle', 'trackingId': 'qoGbScfAQamSE7rrcRJc6Q==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQFSAb95geG2sw/company-logo_'}",Postgraduate master’s degree in Information and Communication - Sorbonne Nouvelle University,Université Sorbonne Nouvelle (Paris III),,2009.0
6,"{'objectUrn': 'urn:li:school:198003', 'entityUrn': 'urn:li:fs_miniSchool:198003', 'active': True, 'schoolName': 'Le Wagon', 'trackingId': 'Dpmi7nSTRv2ZjPlW0d0jIQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQEMcw7g_5Et_A/company-logo_'}",9 weeks full stack bootcamp,Le Wagon,Computer Science,2014.0
6,"{'objectUrn': 'urn:li:school:20306', 'entityUrn': 'urn:li:fs_miniSchool:20306', 'active': True, 'schoolName': 'Harvard Kennedy School', 'trackingId': 'kSEiiSGDRtCODq+nVeiurQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGz7JtcRoH-Hg/company-logo_'}",Creating Collaborative Solutions,Harvard Kennedy School,Political Science and Government,2017.0
6,"{'objectUrn': 'urn:li:school:10418', 'entityUrn': 'urn:li:fs_miniSchool:10418', 'active': True, 'schoolName': 'Université libre de Bruxelles', 'trackingId': 'nsvE4a3FQe+nhAKuB3Vnfg==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQGuWHdMKKUkug/company-logo_'}",Masters Degree,Université libre de Bruxelles,Written & Audiovisual Journalism,2004.0
7,"{'objectUrn': 'urn:li:school:162138', 'entityUrn': 'urn:li:fs_miniSchool:162138', 'active': True, 'schoolName': 'Institut National des Etudes Territoriales (INET)', 'trackingId': 'ytbksLMCQ0KnQ/tHAbhDNg==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQELfJ2pD7kCaA/company-logo_'}",,Institut National des Etudes Territoriales (INET),,2010.0
7,"{'objectUrn': 'urn:li:school:12454', 'entityUrn': 'urn:li:fs_miniSchool:12454', 'active': True, 'schoolName': 'Sciences Po', 'trackingId': 'CRz6Adx9Q9eaEKDstgSaUw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGibH--XUFAAg/company-logo_'}",Master Affaires Publiques,Sciences Po,,2005.0
7,"{'objectUrn': 'urn:li:school:19926', 'entityUrn': 'urn:li:fs_miniSchool:19926', 'active': True, 'schoolName': 'The London School of Economics and Political Science (LSE)', 'trackingId': 'uO9tZtvJRveOTt3Zt6BIZQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQEmNyPMuyVfyQ/company-logo_'}","Master of management, organisations and governance",The London School of Economics and Political Science (LSE),,2008.0
8,"{'objectUrn': 'urn:li:school:12436', 'entityUrn': 'urn:li:fs_miniSchool:12436', 'active': True, 'schoolName': 'ESSEC Business School', 'trackingId': 'BGQ8PlaMSt26XLgxa11Xhg==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHOyFUSQ_Q2ww/company-logo_'}",Master of Business Administration (MBA),ESSEC - ESSEC Business School,Strategy and organisation,2002.0
8,"{'objectUrn': 'urn:li:school:3163086', 'entityUrn': 'urn:li:fs_miniSchool:3163086', 'active': True, 'schoolName': 'Macquarie Business School', 'trackingId': 'c3hF8mqrTRK1Ct3B+XU+FA==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQEmzReB6pniYQ/company-logo_'}",Master of Business Administration - MBA,Macquarie Graduate School of Management,,2005.0
8,"{'objectUrn': 'urn:li:school:12436', 'entityUrn': 'urn:li:fs_miniSchool:12436', 'active': True, 'schoolName': 'ESSEC Business School', 'trackingId': 'Hdyiw/H6T6+NlivNkcaA1g==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHOyFUSQ_Q2ww/company-logo_'}",MBA,ESSEC - ESSEC Business School,Strategy,2002.0
9,,,,,
