exp_id;ind_id;locationName;companyName;description;title;startDate_month;startDate_year;endDate_month;endDate_year;industry;company_empl_low;company_empl_high;title_direction;titleconsulting;titlefounder
0;0;Paris Metropolitan Region;bluenove;"Bluenove accompagne la transformation positive des organisations en faisant levier de l'intelligence collective de toutes leurs parties prenantes.
Plus d'informations sur www.bluenove.com";Directeur associé;11;2017;0;0;['Management Consulting'];11;50;1;0;0
1;0;Paris Metropolitan Region;démocratie ouverte;"Démocratie Ouverte est un collectif citoyen indépendant qui agit pour :

# Repérer, mettre en réseau et accompagner les innovateurs démocratiques
# Permettre aux citoyens de faire entendre leur voix et de gagner en pouvoir d'agir
# Donner à voir la diversité d'initiatives citoyennes et politiques inédites en France et dans la francophonie
# Proposer aux élus et aux administrations des outils et méthodes pour gagner en efficacité et en légitimité
# Tester de nouvelles manières de faire de la politique
# Faire advenir une société ouverte, plus transparente, participative et collaborative.";Co-Président;1;2018;5;2020;['Management Consulting'];11;50;1;0;0
2;0;Paris Metropolitan Region;apm - association progrès du management;;Expert;1;2017;0;0;['Management Consulting'];11;50;0;0;0
3;0;;démocratie ouverte;;Membre du Comité d'Orientation Stratégique;7;2021;0;0;['Management Consulting'];11;50;0;0;0
4;0;Paris Metropolitan Region;dassault systèmes;Netvibes provides Dashboard Intelligence ~ transform the intangible real-time web into tangible trends, expert knowledge and business action;Senior Director, Strategic Business Development ;2;2013;10;2017;['Management Consulting'];11;50;1;0;0
5;1;;roch ventures;"ROCH Ventures is a Luxembourg based VC fund providing Seed and Series A funding to startups in the Travel & Tourism sector. 
We believe that Travel & Tourism is entering a new cycle of changes and that technology and sustainability will be the key drivers of opportunities and outperformance. 
We detect, select, and enable the future winners providing our investors with the highest returns. ";Founder & Managing Partner;1;2022;0;0;['Venture Capital', 'Private Equity'];2;10;0;0;1
6;1;Paris Metropolitan Region;boston consulting group (bcg);"Head of TUNED by BCG.
BCG change management app, helps companies bring a new, more powerful approach to communicating and engaging with employees during organisational change efforts.";Director;11;2017;1;2020;['Venture Capital', 'Private Equity'];2;10;1;0;0
7;1;Paris Metropolitan Region;Orange;"Orange Business Services provides communication services to companies of all sizes in France and internationally. Its network, the most extensive in the world, connects people, sites and machines to improve the digital experience of customers and employees.
More than 160 countries and territories covered
21,500 employees
15 research and innovation laboratories
227 million customers";Advisory Board Member;9;2016;6;2021;['Venture Capital', 'Private Equity'];2;10;0;0;0
8;1;Paris Metropolitan Region;GOV la meteo de lopinion;"Founded in 2014, GOV rapidly achieved popularity and acclaim on social and political matters before extending its focus to dialogue between brands and clients, local authorities and citizens, and companies and employees. By facilitating direct dialog and protecting the confidentiality of users, it created the conditions for trustworthy quantitative and qualitative insights and analysis. 
The app was acquired by Boston Consulting Group in 2017.";Co-Founder GOV (exited);4;2014;11;2017;['Venture Capital', 'Private Equity'];2;10;0;0;1
9;1;Paris Metropolitan Region;boston consulting group (bcg);Oversee product innovation at BCG (inclusive of investment, incubation, development, and GTM strategy of new software products);Director of Innovation;1;2020;1;2022;['Venture Capital', 'Private Equity'];2;10;1;0;0
