;Adresse :;Activité :;Effectif :;Création :;Dirigeants :;SIREN :;SIRET (siège) :;Forme juridique :;Numéro de TVA:;Inscription au RCS :;Numéro RCS :;Capital social :;Activité principale déclarée :;Code NAF ou APE :;Domaine d’activité :;Dirigeant :;Capital variable (minimum) :;Convention collective  :;Inscription au RNA :;Identifiant association :;Objet de l'association :;Statut INSEE :
citility;5 RUE DE LA CLAIRE 69009 LYON 9EME;Édition de logiciels applicatifs;0 salarié  (donnée 2019);05/05/2014;André MAY, ODICEO, Sabine SCHNECK;802 503 276;802 503 276 00023;SAS, société par actions simplifiée;FR07802503276;INSCRIT (au greffe de LYON, le 12/05/2014);802 503 276 R.C.S. Lyon;39 620,00 €;Edition de logiciels applicatifs.;58.29C (Édition de logiciels applicatifs);Édition;;;;;;;
poligma;RPT BENJAMIN FRANKLIN 34960 MONTPELLIER CEDEX 2;Conseil en systèmes et logiciels informatiques;Entre 3 et 5 salariés  (donnée 2020);01/09/2015;;813 463 601;813 463 601 00027;SAS, société par actions simplifiée;FR19813463601;INSCRIT (au greffe de MONTPELLIER, le 11/09/2015);813 463 601 R.C.S. Montpellier;20 944,00 €;Développement de services informatiques et numériques.;62.02A (Conseil en systèmes et logiciels informatiques);Programmation, conseil et autres activités informatiques;Philippe GERARD;;;;;;
voxcracy;1133 RTE FENERIE 06580 PEGOMAS;Programmation informatique;0 salarié;01/09/2014;Olivier ROCCA, Pascal RUSCICA;803 548 031;803 548 031 00019;SAS, société par actions simplifiée;FR08803548031;INSCRIT (au greffe de GRASSE, le 17/07/2014);803 548 031 R.C.S. Grasse;1 000,00 €;La recherche, le développement et la commercialisation de produits et services informatiques, notamment internet, pour permettre aux acteurs publics, privés et civils d'obtenir de meilleures informations, décisions, résultats, actions.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;;100,00 €;;;;;
LLL_2;16 RUE DU CAIRE 75002 PARIS 2;Autres activités de soutien aux entreprises n.c.a.;Entre 3 et 5 salariés  (donnée 2020);16/01/2015;ANNAMAMASHOW, Raymond Maeder, 3APEXCO;809 375 744;809 375 744 00012;SAS, société par actions simplifiée;FR61809375744;INSCRIT (au greffe de PARIS, le 03/02/2015);809 375 744 R.C.S. Paris;45 000,00 €;Développement de nouvelles formes de collaborations entre les communautés, les conseils et les grandes entreprises.;82.99Z (Autres activités de soutien aux entreprises n.c.a.);Activités administratives et autres activités de soutien aux entreprises;;;;;;;
bluenove;112 B RUE CARDINET 75017 PARIS 17;Conseil pour les affaires et autres conseils de gestion;Entre 20 et 49 salariés  (donnée 2020);23/01/2008;GROUPE BLUENOVE INC., Guillaume Drancy, Carole Grellier;502 204 944;502 204 944 00057;SAS, société par actions simplifiée;FR77502204944;INSCRIT (au greffe de PARIS, le 21/11/2019);502 204 944 R.C.S. Paris;56 445,00 €;L'activité de conseil en stratégie d'accompagnement et de mise en oeuvre opérationnelle dans les domaines lies à l'innovation, aux nouvelles technologies, aux partenariats industriels, technologiques et commerciaux, aux rapprochements d'entreprises, au développement de relations commerciales, à la gestion de la marque et plus généralement tout conseil lié à la gestion d'entreprise et au développement de projets.;70.22Z (Conseil pour les affaires et autres conseils de gestion);"Activités des sièges sociaux ; conseil de gestion";;;;;;;
ecivis;3 IMP JEAN MERMOZ 31470 FONSORBES;Programmation informatique;0 salarié  (donnée 2018);16/12/2016;;824 613 160;824 613 160 00012;SAS, société par actions simplifiée;FR89824613160;RADIÉ (du greffe de TOULOUSE, le 31/10/2018);824 613 160 R.C.S. Toulouse;20 000,00 €;Prestation de services et accès à une plateforme digitale d'échanges et d'évaluations de projets;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;Rémi POSTIC;;;;;;
make4;14 RUE ST GUILLAUME 75007 PARIS 7;Autres organisations fonctionnant par adhésion volontaire;Entre 3 et 5 salariés  (donnée 2020);11/01/2017;;827 559 964;827 559 964 00016;Association déclarée;FR18827559964;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;Bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils(BET, SYNTEC) -  IDCC 1486;;;;
civimetric;12 PAS DE LA FONDERIE 75011 PARIS 11;Conseil pour les affaires et autres conseils de gestion;0 salarié  (donnée 2019);16/02/2018;;837 570 316;837 570 316 00013;SARL, société à responsabilité limitée;FR68837570316;RADIÉ (du greffe de PARIS, le 04/08/2020);837 570 316 R.C.S. Paris;3 300,00 €;Le conseil et la réalisation d'études quantitatives et qualitatives;70.22Z (Conseil pour les affaires et autres conseils de gestion);"Activités des sièges sociaux ; conseil de gestion";Fabien Durand;;;;;;
voteetvous;133 RUE ST DOMINIQUE 75007 PARIS 7;Autres organisations fonctionnant par adhésion volontaire;Au moins 1 salarié  (donnée 2023);27/01/2014;;800 468 001;800 468 001 00014;Association déclarée;FR41800468001;Non inscrit;;;;94.99Z (Autres organisations fonctionnant par adhésion volontaire);Activités des organisations associatives;;;;INSCRITE le 27/01/2014;W751223032;"Renforcer l'exercice démocratique du vote, en fournissant aux citoyens des outils pédagogiques leur permettant de s'informer, lors de chaque échéance électorale, sur les grands enjeux politiques du moment ; Vote&Vous n'est affiliée à aucun parti et reste neutre politiquement";
vooter;71 RUE D AGUESSEAU 92100 BOULOGNE-BILLANCOURT;Programmation informatique;0 salarié  (donnée 2023);23/04/2015;Stephane BEQUIN, Dimitri DELATTRE;811 279 991;811 279 991 00012;SAS, société par actions simplifiée;FR84811279991;INSCRIT (au greffe de NANTERRE, le 06/05/2015);811 279 991 R.C.S. Nanterre;120 400,75 €;Développement, conception et commercialsiation de solutions informatiques;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;;;;;;;
organigram_97;99 RUE BOBILLOT 75013 PARIS 13;Conseil en systèmes et logiciels informatiques;Au moins 1 salarié  (donnée 2023);01/08/2016;;821 918 307;821 918 307 00025;SASU, société par actions simplifiée unipersonnelle;FR92821918307;INSCRIT (au greffe de PARIS, le 05/08/2016);821 918 307 R.C.S. Paris;200,00 €;Conseil en gestion et stratégie numérique, édition et conception de solutions informatiques ou logicielles, études, recherches, formations, évènements dans le domaine de la transformation numérique des entreprises et des organisations du secteur public, Intermédiation, direction et développement d'entreprises de toute nature.;62.02A (Conseil en systèmes et logiciels informatiques);Programmation, conseil et autres activités informatiques;Louis Margot-Duclot;;;;;;
forcity_mere;184 CRS LAFAYETTE 69003 LYON 3EME;Activités spécialisées, scientifiques et techniques diverses;0 salarié  (donnée 2019);23/01/2014;François GROSSE, Thomas LAGIER, KPMG SA, SALUSTRO REYDEL SA;799 957 840;799 957 840 00025;SAS, société par actions simplifiée;FR24799957840;INSCRIT (au greffe de LYON, le 27/01/2014);799 957 840 R.C.S. Lyon;37 831,00 €;La mise en place de technologies innovantes de modélisation numérique et de solutions de représentation spatiale en deux ou trois dimensions au service de la planification urbaine et industrielle, à cet effet, développement de services et de logiciels destinés aux villes ou aux territoires non urbains aux particuliers, et aux entreprises agissant sur ces territoires.;74.90B (Activités spécialisées, scientifiques et techniques diverses);Autres activités spécialisées, scientifiques et techniques;;;;;;;
mymairie;26 RUE DES SABLONS 95360 MONTMAGNY;Programmation informatique;Entre 1 et 2 salariés  (donnée 2020);14/11/2016;;823 916 606;823 916 606 00010;SAS, société par actions simplifiée;FR01823916606;INSCRIT (au greffe de PONTOISE, le 24/11/2016);823 916 606 R.C.S. Pontoise;60 000,00 €;Conception developppement edition diffusion d'applications informatiques;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;Didier LAFFITE;;;;;;
