company_id;companyname;adresse;activite;effectif;creation;forme_juridique;capital_social;activite_principale_declaree;code_naf_ou_ape;domaine_dactivite;inscription_rcs;city;date_inscr_rad;directors;post_code;country
0;citility;5 RUE DE LA CLAIRE 69009 LYON 9EME;Édition de logiciels applicatifs;0 salarié  (donnée 2019);05/05/2014;SAS, société par actions simplifiée;39620;Edition de logiciels applicatifs.;58.29C (Édition de logiciels applicatifs);Édition;1;LYON;2014-05-12;André MAY, ODICEO, Sabine SCHNECK;69009;France
1;poligma;RPT BENJAMIN FRANKLIN 34960 MONTPELLIER CEDEX 2;Conseil en systèmes et logiciels informatiques;Entre 3 et 5 salariés  (donnée 2020);01/09/2015;SAS, société par actions simplifiée;20944;Développement de services informatiques et numériques.;62.02A (Conseil en systèmes et logiciels informatiques);Programmation, conseil et autres activités informatiques;1;MONTPELLIER;2015-09-11;Philippe GERARD;34960;France
2;voxcracy;1133 RTE FENERIE 06580 PEGOMAS;Programmation informatique;0 salarié;01/09/2014;SAS, société par actions simplifiée;1000;La recherche, le développement et la commercialisation de produits et services informatiques, notamment internet, pour permettre aux acteurs publics, privés et civils d'obtenir de meilleures informations, décisions, résultats, actions.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;GRASSE;2014-07-17;Olivier ROCCA, Pascal RUSCICA;06580;France
3;LLL_2;16 RUE DU CAIRE 75002 PARIS 2;Autres activités de soutien aux entreprises n.c.a.;Entre 3 et 5 salariés  (donnée 2020);16/01/2015;SAS, société par actions simplifiée;45000;Développement de nouvelles formes de collaborations entre les communautés, les conseils et les grandes entreprises.;82.99Z (Autres activités de soutien aux entreprises n.c.a.);Activités administratives et autres activités de soutien aux entreprises;1;PARIS;2015-02-03;ANNAMAMASHOW, Raymond Maeder, 3APEXCO;75002;France
4;bluenove;112 B RUE CARDINET 75017 PARIS 17;Conseil pour les affaires et autres conseils de gestion;Entre 20 et 49 salariés  (donnée 2020);23/01/2008;SAS, société par actions simplifiée;56445;L'activité de conseil en stratégie d'accompagnement et de mise en oeuvre opérationnelle dans les domaines lies à l'innovation, aux nouvelles technologies, aux partenariats industriels, technologiques et commerciaux, aux rapprochements d'entreprises, au développement de relations commerciales, à la gestion de la marque et plus généralement tout conseil lié à la gestion d'entreprise et au développement de projets.;70.22Z (Conseil pour les affaires et autres conseils de gestion);"Activités des sièges sociaux ; conseil de gestion";1;PARIS;2019-11-21;GROUPE BLUENOVE INC., Guillaume Drancy, Carole Grellier;75017;France
5;ecivis;3 IMP JEAN MERMOZ 31470 FONSORBES;Programmation informatique;0 salarié  (donnée 2018);16/12/2016;SAS, société par actions simplifiée;20000;Prestation de services et accès à une plateforme digitale d'échanges et d'évaluations de projets;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;0;TOULOUSE;2018-10-31;Rémi POSTIC;31470;France
7;civimetric;12 PAS DE LA FONDERIE 75011 PARIS 11;Conseil pour les affaires et autres conseils de gestion;0 salarié  (donnée 2019);16/02/2018;SARL, société à responsabilité limitée;3300;Le conseil et la réalisation d'études quantitatives et qualitatives;70.22Z (Conseil pour les affaires et autres conseils de gestion);"Activités des sièges sociaux ; conseil de gestion";0;PARIS;2020-08-04;Fabien Durand;75011;France
9;vooter;71 RUE D AGUESSEAU 92100 BOULOGNE-BILLANCOURT;Programmation informatique;0 salarié  (donnée 2023);23/04/2015;SAS, société par actions simplifiée;120400;Développement, conception et commercialsiation de solutions informatiques;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;NANTERRE;2015-05-06;Stephane BEQUIN, Dimitri DELATTRE;92100;France
10;organigram_97;99 RUE BOBILLOT 75013 PARIS 13;Conseil en systèmes et logiciels informatiques;Au moins 1 salarié  (donnée 2023);01/08/2016;SASU, société par actions simplifiée unipersonnelle;200;Conseil en gestion et stratégie numérique, édition et conception de solutions informatiques ou logicielles, études, recherches, formations, évènements dans le domaine de la transformation numérique des entreprises et des organisations du secteur public, Intermédiation, direction et développement d'entreprises de toute nature.;62.02A (Conseil en systèmes et logiciels informatiques);Programmation, conseil et autres activités informatiques;1;PARIS;2016-08-05;Louis Margot-Duclot;75013;France
11;forcity_mere;184 CRS LAFAYETTE 69003 LYON 3EME;Activités spécialisées, scientifiques et techniques diverses;0 salarié  (donnée 2019);23/01/2014;SAS, société par actions simplifiée;37831;La mise en place de technologies innovantes de modélisation numérique et de solutions de représentation spatiale en deux ou trois dimensions au service de la planification urbaine et industrielle, à cet effet, développement de services et de logiciels destinés aux villes ou aux territoires non urbains aux particuliers, et aux entreprises agissant sur ces territoires.;74.90B (Activités spécialisées, scientifiques et techniques diverses);Autres activités spécialisées, scientifiques et techniques;1;LYON;2014-01-27;François GROSSE, Thomas LAGIER, KPMG SA, SALUSTRO REYDEL SA;69003;France
